PIM Control Counters
                         Received     Rx Error  Rx Filtered         Sent     Tx Error  Tx Filtered
Assert                         11            0            0           28            0            0
Bootstrap Router                0            0            0            0            0            0
CRP Advertisement               0            0            0            0            0            0
DF Election                     0            0            0            0            0            0
  Backoff                       0            0            0            0            0            0
  Offer                         0            0            0            0            0            0
  Pass                          0            0            0            0            0            0
  Winner                        0            0            0            0            0            0
Graft                           0            0            0            0            0            0
Graft Ack                       0            0            0            0            0            0
Hello                        2977            0            0         2981            0            0
Join/Prune                    129            0            0           35            0            0
  Datagram                    129            0            0           35            0            0
  SCTP                          0            0            0            0            0            0
Register                      715            0            0           13            0            0
  Data Register               644            0            0            5            0            0
  Null Register                71            0            0            0            0            0
Register Stop                  12            0            0          599            0            0
